country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Balance of payments, current account (million US$)",Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Fertility rate, total (live births per woman)",Refugees and others of concern to UNHCR (in thousands),Infant mortality rate (per 1000 live births,Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Seats held by women in national parliaments %,Mobile-cellular subscriptions (per 100 inhabitants),Mobile-cellular subscriptions (per 100 inhabitants),Individuals using the Internet (per 100 inhabitants),Threatened species (number),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)","Pop. using improved sanitation facilities (urban/rural, %)"
Kyrgyzstan,CentralAsia,199949,6045,31.5,98.4,6572,3.5,1106.4,15.4,25.9,58.7,29.2,21,49.8,7.7,108,110,1423,3844,-2421,-721,1.6,35.7,1.6,3.1,8.2,19.6,6.5,1.9,5.5,19.2,132.8,30.2,44,3.4,80,27,12.16
Laos,South-easternAsia,236800,6858,29.7,99.5,12585,7.6,1850.2,23.6,32.8,43.6,78.3,4,17.7,1.5,193,186,2066,4513,-2447,-2264,1.3,38.6,4.9,2.9,-99,47.3,1.9,0.2,3.3,27.5,53.1,18.2,209,80.5,72,12,4.03
Latvia,NorthernEurope,64573,1950,31.3,84.9,27004,2.7,13704.1,3.2,23.3,73.5,7.3,23,69.7,9.6,130,130,11433,13596,-2163,-210,-1.2,67.4,-0.7,1.5,252.6,6.5,5.9,3.2,5.3,16,127,79.2,30,54,108,99,-99
Lebanon,WesternAsia,10452,6082,594.6,100.6,50149,1.5,8571.4,3.2,19.6,77.2,8.2,22.4,69.4,7,95,95,3402,20409,-17007,-8146,6,87.8,3.2,1.7,1054.2,9.2,6.4,2.4,2.6,3.1,87.1,74,87,13.4,7,55,2.04
Lesotho,SouthernAfrica,30355,2233,73.6,94.4,2008,2.8,940.6,7.7,31.3,61,39.7,20,40.3,27.5,101,100,648,1727,-1079,-168,1.3,27.3,3,3.3,~0.0,59.8,10.6,...,...,25,105.5,16.1,18,1.6,31,28,4.11
Liberia,WesternAfrica,111369,4732,49.1,101.8,2053,0.3,455.9,70.8,11.4,17.9,45.3,11.7,43,4.1,104,121,641,727,-86,-860,2.6,49.7,3.4,4.8,22.1,59,10,...,2.8,12.3,81.1,5.9,172,43.7,73,19,61.73
Libya,NorthernAfrica,1676198,6375,3.6,101.7,34457,-10.2,5488.2,0.9,67.1,32,19.1,25.1,55.8,19.2,113,114,4615,8876,-4261,-108,0.2,78.6,1.1,2.4,472.5,24.3,5,2.1,-99,16,157,19,63,0.1,1505,119,0.51
Lithuania,NorthernEurope,65286,2890,46.1,85.4,41402,1.8,14383.7,3.6,29.8,66.5,8.7,24.5,66.8,9.2,125,125,25025,27501,-2476,-977,-1.3,66.5,-0.5,1.6,4.7,4.4,6.6,4.3,4.6,21.3,139.5,71.4,26,34.8,74,98,-99
Luxembourg,WesternEurope,2586,584,225.3,101,56802,3.5,100160.8,0.2,12.1,87.7,1.3,10.2,88.5,5.6,98,98,12838,19124,-6285,2962,2.2,90.2,1.7,1.5,4.2,3.4,6.9,2.9,4.1,28.3,148.5,97.3,11,33.5,6,290,-99
Madagascar,EasternAfrica,587295,25571,44,99.5,9739,3.1,401.8,24.9,18.4,56.7,74.2,9.4,16.5,2.3,119,120,2256,2965,-709,-622,2.7,35.1,4.7,4.4,0.1,36.8,3,0.1,2.1,19.2,46,4.2,1324,21.5,129,7,7.05
Malawi,EasternAfrica,118484,18622,197.5,98.2,6420,3,372.9,26.1,16.6,57.3,69.9,4.8,25.4,6.8,149,150,875,1649,-774,-710,2.9,16.3,3.8,4.9,25.7,66.5,11.4,...,5.6,16.7,35.3,9.3,176,33.6,89,6,16.53
Malaysia,South-easternAsia,330323,31624,96.3,106.7,296284,5,9768.4,8.6,39.6,51.8,11.8,27.3,60.9,3.3,122,130,189414,168375,21039,8960,1.8,74.7,2.7,2.1,238.6,6.5,4.2,1.3,5,10.4,143.9,71.1,1272,67.5,3738,118,0
Mali,WesternAfrica,1240192,18542,15.2,100.2,13100,7.6,744.3,39.9,19.6,40.5,56.7,14.7,28.6,8.1,154,157,3030,2510,520,-676,2.9,39.9,5.1,6.4,90.8,78.5,7,...,3.7,8.8,139.6,10.3,42,3.9,55,4,9.45
Malta,SouthernEurope,315,431,1346.4,100.9,9747,6.2,23280.7,1.4,15,83.6,1.2,20.9,77.9,5.4,96,96,4039,7182,-3143,539,0.5,95.4,0.5,1.4,8.1,4.8,9.7,3.9,7.8,12.5,129.3,76.2,39,1.1,1,78,-99
Mauritania,WesternAfrica,1030700,4420,4.3,101.6,5023,1.2,1235,20.9,41.7,37.4,40.3,9.5,50.2,12,125,125,1623,2174,-551,-1066,2.9,59.9,3.5,4.9,69,68,3.8,...,2.9,25.2,89.3,15.2,86,0.2,31,13,5.02
Mauritius,EasternAfrica,1969,1265,623.2,97.9,11511,3.5,9040.9,2.9,22.7,74.4,7.3,25.2,67.5,7.6,96,96,2194,4655,-2461,-566,0.2,39.7,-0.1,1.5,-99,12,4.8,...,4.9,11.6,140.6,50.1,257,19,10,51,0.67
Mexico,CentralAmerica,1964375,129163,66.4,99.2,1140724,2.5,8980.9,3.6,36,60.4,13.4,25.2,61.3,4.1,120,120,373883,387064,-13181,-33216,1.4,79.2,1.6,2.3,5.9,18.8,6.3,2.1,5.3,42.6,85.3,57.4,1162,34,8514,62,0.03
Moldova,EasternEurope,33846,4051,123.3,92.2,6475,-0.7,1591.4,13.4,20.8,65.8,28.8,30.9,40.3,5,109,109,2045,4020,-1975,-415,-0.1,45,-0.7,1.3,5.5,14.3,10.3,2.5,7.5,22.8,108,49.8,35,12.3,15,23,4.49
Mongolia,EasternAsia,1564116,3076,2,97.9,11758,2.3,3973.4,14.8,34.1,51.1,28.4,20.7,51,6.3,147,149,4917,3358,1559,-948,1.9,72,2.8,2.8,~0.0,22.8,4.7,2.9,4.6,17.1,105,21.4,41,8.1,677,84,2.21
Montenegro,SouthernEurope,13812,629,46.8,97.4,4020,4.5,6424.1,9.8,17.5,72.6,7.5,17.3,75.2,17.4,66,66,354,2263,-1908,-533,0.1,64,0.3,1.7,16,4.1,6.4,2.3,-99,23.5,162.2,64.6,98,61.5,29,64,2.44
Morocco,NorthernAfrica,446550,35740,80.1,98.1,100359,4.4,2919.3,13.7,28.9,57.4,32.6,20.7,46.8,10.4,130,130,22858,41696,-18838,-2161,1.4,60.2,2.3,2.6,6.4,28.1,5.9,0.6,...,20.5,126.9,57.1,207,12.6,78,23,1.51
Mozambique,EasternAfrica,799380,29669,37.7,95.5,14806,6.6,529.2,24.6,21,54.4,75,4.1,21,24.1,137,137,3352,5295,-1943,-5833,2.9,32.2,3.3,5.4,24,67.3,7,0.1,6.5,39.6,74.2,9,309,48.5,779,20,12.54
Myanmar,South-easternAsia,676577,53371,81.7,95.5,62601,7.3,1161.5,26.7,34.5,38.7,23.6,14.6,61.7,0.8,130,128,11673,15696,-4023,-3921,0.9,34.1,2.5,2.3,1392.1,45,2.3,0.6,-99,10.2,76.7,21.8,321,45.3,1078,15,2.23
Namibia,SouthernAfrica,824116,2534,3.1,94.7,11491,5.3,4673.6,6.6,30.6,62.8,29.1,14.6,56.3,24.9,88,89,4816,6721,-1905,-1700,2.2,46.7,4.2,3.6,4.8,36.4,-99,...,...,41.3,102.1,22.3,115,8.5,19,31,1.24
Nepal,SouthernAsia,147181,29305,204.4,94.3,20658,2.7,724.5,31.8,14.9,53.3,72.6,10.9,16.5,3,139,139,703,5249,-4547,2447,1.2,18.6,3.2,2.3,30.7,32.8,5.8,...,3.7,29.6,96.8,17.6,104,25.4,451,19,5.73
Netherlands,WesternEurope,41542,17036,505.2,99,750318,2,44332.1,1.8,20,78.2,2.2,15.9,81.9,5.6,115,115,511714,420969,90745,65129,0.3,90.5,1,1.7,116.3,3.5,10.9,3.4,5.5,38,123.5,93.1,40,11.1,2447,178,-99
New Zealand,Oceania,268107,4706,17.9,96.7,173417,3.1,38294.3,6.5,23,70.6,5.9,21.4,72.6,5.5,116,118,33833,36423,-2589,-5501,1.1,86.3,1,2,1.7,4.4,11,2.9,6.4,34.2,121.8,88.2,199,38.6,783,207,-99
Nicaragua,CentralAmerica,130373,6218,51.7,97.2,12693,4.9,2086.9,18.8,26.8,54.4,24.1,14.5,61.4,6.1,130,130,2225,5927,-3701,-1045,1.2,58.8,2,2.3,0.6,20,9,0.9,...,45.7,116.1,19.7,144,25.9,91,26,3.68
Niger,WesternAfrica,1267000,21477,17,100.6,7143,3.6,359,39.6,19.1,41.3,62.3,14.4,23.3,2.7,148,148,927,1861,-933,-1150,3.8,18.7,5.1,7.4,312.5,65.8,6,...,6.7,17,46.5,2.2,34,0.9,101,5,12.26
Nigeria,WesternAfrica,923768,190886,209.6,102.7,494583,2.7,2714.5,20.9,20.4,58.8,27.9,14.7,57.4,5.4,116,117,104084,36533,67551,-15763,2.7,47.8,4.7,5.7,2437.5,76.3,3.7,...,-99,5.6,82.2,47.4,361,8.1,10851,32,0.52
North Macedonia,SouthernEurope,25713,2083,82.6,100,10052,3.8,4836.1,12,27.9,65.1,16.2,29.2,54.5,27.3,111,112,4785,6757,-1972,-204,0.1,57.1,0.1,1.5,1.4,9,6.5,2.8,...,31.7,105.4,70.4,110,39.6,53,53,2.18
Norway,NorthernEurope,386194,5305,14.5,101.8,386578,1.6,74185.5,1.8,34.6,63.5,2.2,20.2,77.6,5.1,103,104,89120,72473,16647,33746,1.2,80.5,1.3,1.8,73.2,2.4,9.7,4.4,7.4,39.6,113.6,96.8,64,33.2,8204,233,-99
Pakistan,SouthernAsia,796095,197016,255.6,105.6,266458,5.5,1410.4,25.5,19,55.5,42.1,19.8,38.1,5.9,135,138,20534,46998,-26464,-1603,2.1,38.8,2.8,3.7,2739.4,69.8,2.6,0.8,2.6,20.6,66.9,18,140,2,2202,17,1.32
Panama,CentralAmerica,75320,4099,55.1,100.4,52132,5.8,13268.1,2.8,27.1,70,14.5,19.6,65.9,6.2,117,118,636,11697,-11061,-3377,1.7,66.6,2.1,2.6,21.5,15.2,8,1.6,3.2,18.3,174.2,51.2,383,62.3,31,35,0.02
Paraguay,SouthAmerica,406752,6811,17.1,102.9,27714,3.1,4174.4,19,29.5,51.6,19.6,19.5,61,5.5,160,166,8494,9753,-1259,-462,1.3,59.7,2.1,2.6,0.2,28.8,9.8,1.3,5,13.8,105.4,44.4,59,39.4,325,38,0.22
Peru,SouthAmerica,1285216,32166,25.1,99.8,190428,3.3,6069.1,7.6,33.3,59.2,24.4,17.3,58.3,5.3,145,148,36040,36185,-145,-9210,1.3,78.6,1.7,2.5,2.5,18.6,5.5,1.1,4,27.7,109.9,40.9,685,57.9,1020,30,0.18
Philippines,South-easternAsia,300000,104918,351.9,101.3,292449,5.9,2904.2,10.5,31.3,58.2,27.7,16.3,56.1,5.9,122,120,56313,85909,-29596,7694,1.6,44.4,1.3,3,240.2,22.2,4.7,...,...,29.5,118.1,40.7,783,26.2,991,19,0.15
Poland,EasternEurope,312679,38171,124.6,93.4,477066,3.9,12355.5,2.6,34.1,63.3,10.9,29.6,59.5,5.3,113,113,196455,188518,7937,-2932,-~0.0,60.5,-0.1,1.3,23.7,4.5,6.4,2.3,4.9,28,148.7,68,58,30.7,2819,102,-99
Portugal,SouthernEurope,92226,10330,112.8,89.8,199122,1.6,19239.2,2.3,22.3,75.4,8,23.8,68.2,10.5,104,104,55658,67580,-11922,842,-0.4,63.5,1,1.3,1.8,2.9,9.5,4.4,5.1,34.8,110.4,68.6,281,34.9,250,84,-99
Qatar,WesternAsia,11607,2639,227.3,301.2,164641,3.6,73653.4,0.2,56.4,43.5,1.2,54.1,44.7,0.3,154,154,57254,32058,25196,13751,6.6,99.2,6,2,1.5,7.2,2.2,2,3.6,0,153.6,92.9,39,0,9166,846,-99
Romania,EasternEurope,238391,19679,85.5,94,177956,3.7,9120.7,4.8,34.9,60.3,25.5,27.7,46.8,7.1,100,100,63581,74605,-11024,-2096,-0.6,54.6,~0.0,1.5,3.2,8.7,5.6,2.7,3.1,20.7,107.1,55.8,104,29.5,1109,68,-99
Russia,EasternEurope,17098246,143990,8.8,86.8,1326016,-3.7,9243.3,4.7,31.8,63.5,6.8,27.1,66.1,5.8,120,120,285491,182257,103234,69000,0.1,74,-0.1,1.7,418.4,8.3,7.1,3.3,3.9,15.8,160,73.4,235,49.8,54829,208,-99
Rwanda,EasternAfrica,26338,12208,494.9,96.2,8096,6.9,697.3,34.6,15.1,50.3,75,7.2,17.8,2.4,139,139,622,1778,-1157,-1099,2.5,28.8,6.4,4.2,155.1,44,7.5,...,3.6,61.3,70.5,18,62,19.2,84,8,13.67
Saudi Arabia,WesternAsia,2206714,32938,15.3,132.9,653219,3.4,20710.6,2.3,46,51.8,5.9,22.7,71.4,5.5,96,96,182329,135904,46426,-56724,2.8,83.1,2.1,2.7,70.2,13,4.7,2.6,...,19.9,176.6,69.6,131,0.5,25904,287,...
Senegal,WesternAfrica,196712,15851,82.3,96.6,13633,6.5,901.1,15.5,24.1,60.4,51.4,20.7,27.9,9.3,126,127,2640,5478,-2838,-1348,3,43.7,3.6,5,17.6,43.9,4.7,...,7.4,42.7,100,21.7,123,43.2,77,11,6.49
Serbia,SouthernEurope,88499,8791,100.5,95.6,37160,0.8,5238.6,8.2,31.4,60.5,19.4,24.5,56.1,15.5,102,102,14852,19231,-4379,-1751,-0.4,55.6,-0.3,1.6,254.1,9.8,10.4,2.5,4.2,34.4,120.5,65.3,71,31.1,393,62,0.9
Sierra Leone,WesternAfrica,72300,7557,104.7,98.1,4483,-20.3,694.8,51.4,17.6,31.1,68,6.5,25.5,3.1,168,168,466,958,-492,-1317,2.3,39.9,2.7,4.8,0.8,94.4,11.1,...,2.7,12.4,89.5,2.5,177,41.3,53,11,21.56
Singapore,South-easternAsia,719,5709,8155.5,97.7,292734,2,52239,~0.0,26.4,73.6,0.3,17,82.6,2,112,112,329871,283009,46862,57922,1.7,100,2,1.2,~0.0,2.1,4.9,1.9,2.9,23.8,146.1,82.1,293,23.1,27,209,-99
Slovakia,EasternEurope,49035,5448,113.3,94.6,87268,3.8,16082.5,3.7,34.8,61.5,3.3,34.5,62.2,9.9,97,97,77565,75156,2409,193,0.1,53.6,-0.3,1.4,2.7,5.7,8.1,3.4,4.2,20,122.3,85,54,40.3,264,121,-99
Slovenia,SouthernEurope,20273,2080,103.3,98.6,42777,2.3,20689.8,2.4,32.7,64.9,8.9,29.6,61.5,8.1,89,89,27585,26646,939,2216,0.3,49.7,0.1,1.6,0.6,2.5,9.2,2.8,5.5,36.7,113.2,73.1,143,62,154,135,-99
Somalia,EasternAfrica,637657,14742,23.5,99.3,1559,2.7,144.5,60.2,7.4,32.5,72,4.8,23.2,6.6,112,112,925,530,394,-99,2.9,39.6,4.1,6.6,1168.4,79.5,-99,~0.0,-99,24.2,52.5,1.8,175,10.3,129,12,22.85
South Africa,SouthernAfrica,1221037,56717,46.8,96.4,314571,1.3,5773,2.4,28.9,68.7,6.1,26.2,67.7,26,125,126,74111,74744,-633,-13644,1.4,64.8,1.6,2.6,1201.9,36.5,8.8,0.8,6,42.2,159.3,51.9,581,7.6,7102,122,0.47
South Korea,EasternAsia,100284,50982,524.3,100.2,1377873,2.6,27396.7,2.3,38,59.7,5,24.7,70.3,3.6,104,104,495418,406182,89236,105871,0.4,82.5,0.7,1.2,8,3,7.4,2.2,5.1,17,118.5,89.9,111,63.5,2023,223,-99
South Sudan,EasternAfrica,658841,12576,20.6,100.4,13167,2,1067,4.6,58,37.4,-99,-99,-99,...,-99,-99,2389,750,1640,-935,3.3,18.8,5.1,5.2,2231.2,77.7,2.7,-99,1.8,28.5,23.9,17.9,49,-99,337,2,21.07
Spain,SouthernEurope,505944,46354,92.9,96.2,1192955,3.2,25865.4,2.6,23.6,73.7,3.9,19.2,76.8,18.3,102,102,281777,302539,-20762,16208,-0.2,79.6,0.7,1.3,28.8,2.9,9,3.8,4.3,39.1,107.9,78.7,617,36.8,1432,102,-99
Sri Lanka,SouthernAsia,65610,20877,332.9,92.5,82316,4.8,3973.7,8.7,30.7,60.6,27.4,25.9,46.6,5.2,120,122,10546,19501,-8955,-2009,0.5,18.4,0.8,2.1,44.2,8.2,3.5,...,2.2,5.8,112.8,30,587,33.1,179,20,0.53
State of Palestine,WesternAsia,6020,4921,817.4,102.9,12677,3.5,2715.5,4.8,23.4,71.9,8.7,29.8,61.5,24.2,90,90,929,5058,-4128,-1713,2.7,75.3,2.8,4.2,~0.0,20,-99,-99,1.3,-99,77.6,57.4,31,1.5,9,15,17.52
Swaziland,SouthernAfrica,17363,1367,79.5,93.9,4133,1.7,3211.7,6.6,42.1,51.3,22,17,61,25.1,114,115,1881,733,1149,281,1.8,21.3,1.3,3.3,1.1,56.3,9.3,...,7,6.2,73.2,30.4,34,33.8,39,40,2.39
Sweden,NorthernEurope,438574,9911,24.2,100.2,495694,4.1,50687.5,1.3,26.3,72.4,1.8,18.2,79.9,7.3,100,100,139574,140838,-1263,23250,0.8,85.8,0.8,1.9,348.5,2.4,11.9,4.1,7.7,43.6,130.4,90.6,54,68.9,1428,206,-99
Switzerland,WesternEurope,41291,8476,214.5,98.2,670790,0.8,80831.1,0.7,25.5,73.8,3.5,20.4,76.1,4.6,106,106,304691,269157,35534,77378,1.2,73.9,1.1,1.5,110.1,3.9,11.7,4.1,5.1,32.5,142,88,74,31.6,552,126,-99
Syria,WesternAsia,185180,18270,99.5,102.1,28393,-5.3,1534.5,20.7,30,49.3,18.5,39.2,42.3,13.8,65,68,1265,2383,-1118,...,-2.3,57.7,1.4,3.1,6768.5,17.9,3.3,1.5,...,13.2,62.4,30,132,2.7,237,24,...
Tajikistan,CentralAsia,142600,8921,63.7,100.9,7853,4.2,925.9,25,28,47.1,57.2,13.4,29.4,10.8,155,172,899,3030,-2132,-472,2.2,26.8,2.6,3.5,21.8,38.9,6.9,1.7,5.2,19,98.6,19,45,3,76,14,4.55
Tanzania,EasternAfrica,947303,57310,64.7,97.8,45628,7,877.3,31.1,26.1,42.9,66.9,6.4,26.7,2.7,176,180,4742,7876,-3134,-3312,3.1,31.6,5.4,5.2,402.1,44,5.6,~0.0,3.5,36.4,75.9,5.4,1082,52.4,935,20,5.85
Thailand,South-easternAsia,513120,69038,135.1,95.2,395168,2.8,5814.8,9.1,35.7,55.1,34,22.7,43.3,0.6,129,126,213927,195666,18260,32149,0.4,50.4,3,1.5,554.1,11.2,4.1,...,4.1,4.9,125.8,39.3,611,32,3338,83,0.02
Togo,WesternAfrica,56785,7798,143.4,99.4,4086,5.5,559.4,45.7,19.7,34.6,62.5,8.7,28.7,6.8,140,143,715,1716,-1001,-461,2.6,40,3.8,4.7,13.8,55.7,5.2,...,5.2,17.6,65,7.1,80,3.8,111,20,5.51
Trinidad & Tobago,Caribbean,5127,1369,266.9,97.1,25927,0.2,19062.9,0.5,42.5,57,4.1,31.6,64.3,4.2,95,95,4576,4826,-249,...,0.5,8.4,-1.2,1.8,0.2,24.8,5.9,...,...,31,157.7,69.2,69,45.4,1663,607,...
Tunisia,NorthernAfrica,163610,11532,74.2,97.6,41199,0.8,3660.9,10.3,27.8,62,11.7,29.4,58.9,14.6,108,108,13483,19456,-5973,-3850,1.2,66.8,1.4,2.3,0.7,18.5,7,1.6,6.3,31.3,129.9,48.5,96,6.6,274,39,1.14
Turkey,WesternAsia,783562,80745,104.9,97,717888,4,9125.8,8.6,26.4,65,19.6,27.5,52.9,10.8,120,122,142606,198602,-55996,-32278,1.6,73.4,2,2.1,3006.3,12.6,5.4,1.7,4.8,14.9,96,53.7,388,15.1,1303,65,0.3
Turkmenistan,CentralAsia,488100,5758,12.3,97,37597,6.5,6996.7,13.4,51,35.6,17.9,37.4,44.7,8.6,103,109,3741,2616,1125,-99,1.8,50,1.9,3,7.2,46.9,2.1,2.3,3.1,25.8,145.9,15,54,8.8,3270,212,0.07
Uganda,EasternAfrica,241550,42863,214.5,99,25282,5.4,647.7,25.6,21.5,52.9,72,7.4,20.5,2.4,93,90,2755,3750,-996,-2353,3.4,16.1,5.4,5.9,727.1,60.2,7.2,...,2.2,34.3,50.4,19.2,196,11,409,12,6.35
Ukraine,EasternEurope,603500,44223,76.3,86,90615,-9.9,2021.6,14,26.3,59.7,15.7,24.6,59.7,8.8,137,137,36369,39184,-2815,-189,-0.5,69.7,-0.3,1.5,1644.8,8.8,7.1,3,5.9,12.3,144,49.3,102,16.6,3203,98,1.63
United Arab Emirates,WesternAsia,83600,9400,112.4,262.4,370296,3.8,40438.8,0.7,44.9,54.4,3.5,21.1,75.4,3.7,70,70,195613,201908,-6296,-99,2,85.5,2.9,1.8,1.3,6.2,3.6,1.6,-99,20,187.4,91.2,56,3.8,8642,366,-99
United Kingdom,NorthernEurope,242495,66182,273.6,97.4,2858003,2.2,44162.4,0.7,19.4,79.9,1.2,18.4,80.4,5,108,108,415856,635570,-219713,-122571,0.6,82.6,0.9,1.9,151.7,4.1,9.1,2.8,5.7,30,125.8,92,102,12.9,4482,116,-99
Uruguay,SouthAmerica,173626,3457,19.8,93.5,53442,1,15573.8,6.8,28,65.2,8.7,20.5,70.8,8.8,129,130,6964,8137,-1173,-1141,0.3,95.3,0.5,2,0.5,12.7,8.6,...,4.4,20.2,160.2,64.6,106,10.4,113,58,0.04
USA,NorthernAmerica,9833517,324460,35.5,98,18036648,2.6,56053.8,1,19.7,79.3,1.5,17.2,81.3,4.9,111,113,1453167,2249661,-796494,-462961,0.7,81.6,1,1.9,616.5,6,17.1,2.6,5.4,19.1,117.6,74.6,1513,33.9,83887,289,-99
Uzbekistan,CentralAsia,448969,31911,75,99.4,69004,6.8,2308.3,19.2,32.9,47.9,29,23.9,47.1,8.9,158,174,27947,25652,2295,-99,1.6,36.4,1.4,2.4,86.7,31.3,5.8,2.5,-99,16,73.3,42.8,59,7.6,2339,62,0.66
Venezuela,SouthAmerica,912050,31977,36.3,99,344331,-6.2,11068.9,5.3,44.7,50,11.9,26.8,61.3,6.6,118,119,19731,16324,3407,-20360,1.4,89,1.5,2.4,174.2,13.8,5.3,...,...,22.2,93,61.9,328,53.1,7460,90,0.01
Vietnam,South-easternAsia,330967,95541,308.1,98,193241,6.7,2067.9,18.9,37,44.2,41.8,22.9,35.2,2.2,136,134,176632,174111,2520,906,1.1,33.6,3,2,11,19.3,7.1,1.2,5.7,26.7,130.6,52.7,616,47.2,2977,30,1.73
Yemen,WesternAsia,527968,28250,53.5,102.1,29688,-28.1,1106.4,14.7,36.9,48.4,32.9,17.9,49.2,16.1,136,137,570,6861,-6291,-3026,2.6,34.6,4,4.4,3371.4,47.2,5.6,0.3,...,0,68,25.1,298,1,668,12,2.99
Zambia,EasternAfrica,752612,17094,23,98.5,21255,2.9,1311.1,8.2,32.3,59.5,54.8,9.9,35.3,7.4,179,180,6505,7442,-937,-768,3,40.9,4.3,5.2,55.3,53.8,5,0.2,...,18,74.5,21,88,65.6,374,26,3.96
Zimbabwe,EasternAfrica,390757,16530,42.7,95,13893,1.1,890.4,13,30.5,56.5,67.5,7.3,25.2,5,99,98,2832,5212,-2379,-1521,2.3,32.4,2.3,4,308.6,46.5,6,0.1,8.4,32.6,84.8,16.4,89,37.2,482,30,6
